DeSO.1,Kon,UtlBakgrund,values,Year
0580C1310,Män,Svensk,1519,2019
0580C1310,Män,Utländsk,315,2019
0580C1310,Totalt,Svensk,2853,2019
0580C1310,Totalt,Utländsk,609,2019
0580C1320,Kvinnor,Svensk,741,2019
0580C1320,Kvinnor,Utländsk,234,2019
0580C1320,Män,Svensk,702,2019
0580C1320,Män,Utländsk,237,2019
0580C1320,Totalt,Svensk,1443,2019
0580C1320,Totalt,Utländsk,471,2019
0580C1330,Kvinnor,Svensk,608,2019
0580C1330,Kvinnor,Utländsk,125,2019
0580C1330,Män,Svensk,717,2019
0580C1330,Män,Utländsk,148,2019
0580C1330,Totalt,Svensk,1325,2019
0580C1330,Totalt,Utländsk,273,2019
0580C1340,Kvinnor,Svensk,729,2019
0580C1340,Kvinnor,Utländsk,191,2019
0580C1340,Män,Svensk,820,2019
0580C1340,Män,Utländsk,156,2019
0580C1340,Totalt,Svensk,1549,2019
0580C1340,Totalt,Utländsk,347,2019
0580C1350,Kvinnor,Svensk,685,2019
0580C1350,Kvinnor,Utländsk,96,2019
0580C1350,Män,Svensk,642,2019
