DeSO.1,Kon,UtlBakgrund,values,Year
0120C1220,Totalt,Svensk,1122,2019
0120C1220,Totalt,Utländsk,159,2019
0120C1230,Kvinnor,Svensk,431,2019
0120C1230,Kvinnor,Utländsk,125,2019
0120C1230,Män,Svensk,481,2019
0120C1230,Män,Utländsk,117,2019
0120C1230,Totalt,Svensk,912,2019
0120C1230,Totalt,Utländsk,242,2019
0123C1010,Kvinnor,Svensk,752,2019
0123C1010,Kvinnor,Utländsk,400,2019
0123C1010,Män,Svensk,816,2019
0123C1010,Män,Utländsk,396,2019
0123C1010,Totalt,Svensk,1568,2019
0123C1010,Totalt,Utländsk,796,2019
0123C1020,Kvinnor,Svensk,608,2019
0123C1020,Kvinnor,Utländsk,324,2019
0123C1020,Män,Svensk,662,2019
0123C1020,Män,Utländsk,343,2019
0123C1020,Totalt,Svensk,1270,2019
0123C1020,Totalt,Utländsk,667,2019
0123C1030,Kvinnor,Svensk,583,2019
0123C1030,Kvinnor,Utländsk,231,2019
0123C1030,Män,Svensk,649,2019
0123C1030,Män,Utländsk,238,2019
0123C1030,Totalt,Svensk,1232,2019
0123C1030,Totalt,Utländsk,469,2019
0123C1040,Kvinnor,Svensk,631,2019
0123C1040,Kvinnor,Utländsk,209,2019
0123C1040,Män,Svensk,671,2019
0123C1040,Män,Utländsk,195,2019
0123C1040,Totalt,Svensk,1302,2019
0123C1040,Totalt,Utländsk,404,2019
0123C1050,Kvinnor,Svensk,662,2019
0123C1050,Kvinnor,Utländsk,294,2019
0123C1050,Män,Svensk,685,2019
0123C1050,Män,Utländsk,285,2019
0123C1050,Totalt,Svensk,1347,2019
0123C1050,Totalt,Utländsk,579,2019
0123C1060,Kvinnor,Svensk,757,2019
0123C1060,Kvinnor,Utländsk,316,2019
0123C1060,Män,Svensk,828,2019
0123C1060,Män,Utländsk,344,2019
0123C1060,Totalt,Svensk,1585,2019
0123C1060,Totalt,Utländsk,660,2019
0123C1070,Kvinnor,Svensk,756,2019
0123C1070,Kvinnor,Utländsk,298,2019
0123C1070,Män,Svensk,779,2019
0123C1070,Män,Utländsk,299,2019
0123C1070,Totalt,Svensk,1535,2019
0123C1070,Totalt,Utländsk,597,2019
0123C1080,Kvinnor,Svensk,587,2019
0123C1080,Kvinnor,Utländsk,233,2019
0123C1080,Män,Svensk,612,2019
0123C1080,Män,Utländsk,226,2019
0123C1080,Totalt,Svensk,1199,2019
0123C1080,Totalt,Utländsk,459,2019
0123C1090,Kvinnor,Svensk,815,2019
0123C1090,Kvinnor,Utländsk,474,2019
0123C1090,Män,Svensk,743,2019
0123C1090,Män,Utländsk,443,2019
0123C1090,Totalt,Svensk,1558,2019
0123C1090,Totalt,Utländsk,917,2019
0123C1100,Kvinnor,Svensk,859,2019
0123C1100,Kvinnor,Utländsk,337,2019
0123C1100,Män,Svensk,731,2019
0123C1100,Män,Utländsk,338,2019
